vol_z,vol_5bar_slope,vol_ratio,atr_pts,atr_ratio,atr_5bar_roc,rsi_level,rsi_3bar_slope,rsi_5bar_slope,ema20_3bar_slope,ema20_5bar_slope,body_ratio,close_pos,price_5bar_mom,spread,hour,day_of_week,target
0.541,-0.0732,0.843,309.1,1.122,0.1176,37.03,-8.411,12.689,-4.17,-6.89,0.367,0.467,0.524,15,10,0,0
0.732,-0.0474,0.885,486.2,1.273,0.1123,29.45,-1.938,-1.034,-7.08,-10.32,0.513,0.296,-1.067,15,17,0,0
0.652,-0.0603,0.918,390.1,1.247,0.1132,50.31,-1.559,-10.157,-0.14,0.31,0.334,0.037,-1.384,15,17,1,0
2.217,0.0966,1.24,327.2,1.541,0.4741,30.24,-22.419,-13.398,-1.43,-2.13,0.525,0.447,-2.216,15,11,2,0
2.127,-0.0406,1.222,384.4,1.161,0.2166,56.01,6.929,11.516,0.31,0.95,0.97,1.0,1.712,15,16,3,0
0.76,0.118,1.578,195.6,0.963,-0.085,77.23,7.212,4.01,3.43,5.43,0.821,0.922,1.671,15,8,4,1
2.222,0.1286,1.35,221.7,1.066,0.133,80.14,11.303,2.911,3.78,5.77,0.942,1.0,2.098,15,9,4,1
0.576,-0.1128,0.943,243.3,0.984,-0.0239,41.18,-3.259,-3.976,-3.41,-5.83,0.149,0.564,-1.036,15,11,0,1
0.879,0.0731,1.149,258.3,1.04,0.0897,34.56,-11.708,2.771,-3.57,-6.07,0.765,0.178,-0.581,15,14,0,1
2.88,0.1814,1.534,250.5,1.294,0.3476,31.34,-7.539,-10.198,-2.68,-4.41,0.854,0.084,-2.251,15,10,1,0
1.69,0.0219,1.034,332.7,1.154,0.2215,63.32,9.212,1.356,0.81,-0.34,0.648,0.827,0.559,15,16,1,1
3.291,0.2934,1.901,238.6,1.151,0.1629,41.69,-14.808,-3.091,0.22,0.72,0.417,0.311,-0.465,15,15,2,0
1.105,-0.0302,0.981,276.0,1.029,0.1013,57.1,8.093,5.472,2.95,4.42,0.598,0.639,1.054,15,15,3,1
0.925,0.0338,0.974,235.9,1.12,0.1045,56.12,8.839,5.86,-0.68,-1.65,0.732,0.859,0.835,15,11,4,1
1.863,0.0315,1.171,416.3,1.485,0.4499,51.68,9.972,-10.132,0.04,1.01,0.448,0.553,-0.822,15,16,4,1
0.502,0.0251,0.874,328.9,1.161,0.1586,47.38,5.433,19.303,-3.46,-5.76,0.621,0.026,1.563,15,15,0,0
0.369,0.081,1.06,195.2,0.936,0.0132,55.02,1.272,1.092,-1.04,-2.61,0.656,0.88,0.251,15,9,2,1
0.437,0.031,1.084,282.9,1.22,0.065,72.38,8.896,4.31,1.95,1.44,0.699,0.987,1.997,15,12,2,0
2.927,0.1488,1.471,251.1,0.959,0.0157,53.11,-4.588,-10.762,0.4,1.86,0.143,0.614,-1.29,15,15,2,0
2.338,0.2143,1.294,414.0,1.488,0.6878,47.68,-5.43,-6.774,0.43,1.83,0.738,0.914,-0.942,15,16,2,1
2.24,0.0318,1.245,257.3,1.226,0.25,36.79,-9.868,-2.991,-0.19,-0.13,0.893,0.106,-1.154,15,10,3,0
1.746,0.1066,1.117,396.6,1.192,0.1384,35.01,-13.592,-11.372,-2.15,-2.78,0.834,0.059,-1.773,15,16,3,1
0.23,0.09,1.027,213.1,0.986,0.0457,36.11,-6.863,-2.445,-1.85,-2.65,0.274,0.511,-1.187,15,9,0,0
1.787,0.013,1.067,364.2,0.973,0.0377,53.16,-2.978,6.355,-0.81,-1.98,0.284,0.521,1.148,15,16,0,0
2.024,0.109,1.425,239.5,1.128,0.0369,58.6,2.098,-1.661,1.68,2.93,0.5,0.686,0.013,15,13,1,1
2.395,0.139,1.511,259.4,1.149,0.083,70.11,18.356,11.507,2.16,3.06,0.802,0.824,2.202,15,14,1,0
0.31,0.0373,0.981,158.2,0.991,0.0181,45.29,3.96,-0.846,-0.45,-0.5,0.483,0.938,-0.43,15,9,3,0
1.211,-0.0159,0.931,182.5,1.147,0.1795,39.68,1.741,-3.809,0.27,-0.01,0.144,0.524,-0.668,15,11,3,1
0.214,0.042,1.199,208.2,0.998,-0.0329,54.4,0.636,-5.605,1.28,2.39,0.198,0.668,-0.485,15,14,4,0
