open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2023-12-18 09:15:00+00:00,745,SHORT,2023.51,2026.02,-80.32,SL,B,9,Monday,London,155.9,0.66,53.4,0.32,0.22,15.0,False,False,UP,2021.53,48.6,1030.4,True,147.6,1,0,0.13,LOSS
2023-12-19 08:00:00+00:00,746,SHORT,2024.34,2026.61,-81.72,SL,B,8,Tuesday,London,139.4,0.8,48.4,-0.3,0.34,15.0,False,False,UP,2023.93,51.9,903.3,True,448.4,0,1,0.26,LOSS
2023-12-21 15:45:00+00:00,749,LONG,2041.34,2037.37,-103.22,SL,A+,15,Thursday,NY,252.9,1.7,64.1,1.83,0.84,15.0,False,False,UP,2033.4,61.0,815.7,False,681.6,0,1,0.97,LOSS
2023-12-28 14:00:00+00:00,756,SHORT,2073.8199999999997,2077.43,-104.69,SL,A+,14,Thursday,NY,228.1,1.29,32.9,0.68,0.38,15.0,False,False,UP,2067.39,62.9,853.0,True,1813.8,3,0,0.65,LOSS
2023-12-29 15:45:00+00:00,758,SHORT,2059.18,2062.86,-103.04,SL,A+,15,Friday,NY,234.5,1.39,30.2,2.66,0.82,15.0,False,True,UP,2067.45,45.6,853.6,True,1021.1,2,0,0.97,LOSS
2024-01-02 09:30:00+00:00,759,LONG,2075.25,2072.3799999999997,-103.32,SL,A+,9,Tuesday,London,180.1,0.88,67.6,0.69,0.07,15.0,False,False,UP,2068.49,58.5,854.4,False,942.0,0,3,1.0,LOSS
2024-01-08 15:45:00+00:00,769,SHORT,2018.92,2023.5900000000001,-102.74,SL,A+,15,Monday,NY,298.6,1.4,32.3,1.61,0.87,15.0,False,False,DOWN,2041.71,29.9,1022.3,False,771.3,4,0,2.23,LOSS
2024-01-16 15:00:00+00:00,778,SHORT,2031.88,2035.9500000000003,-101.75,SL,A+,15,Tuesday,NY,259.7,1.56,24.0,1.95,0.84,15.0,False,False,UP,2044.25,44.8,882.7,True,138.5,5,0,0.76,LOSS
2024-01-26 09:15:00+00:00,788,LONG,2021.82,2019.7099999999998,-107.61,SL,A+,9,Friday,London,129.6,0.71,52.3,2.51,0.62,15.0,False,True,DOWN,2021.73,45.7,777.2,True,512.5,1,0,0.12,LOSS
2024-02-12 08:30:00+00:00,799,SHORT,2023.91,2025.38,-91.14,SL,B,8,Monday,London,86.4,0.58,50.9,0.3,0.48,15.0,False,False,DOWN,2028.8,36.9,684.1,False,350.0,1,0,1.18,LOSS
2024-02-19 13:15:00+00:00,807,LONG,2019.41,2017.44,-88.65,SL,B,13,Monday,NY,118.6,0.76,47.7,-0.97,0.83,15.0,False,False,DOWN,2009.88,58.8,681.8,True,305.0,2,0,1.01,LOSS
2024-02-29 10:45:00+00:00,817,LONG,2037.23,2035.43,-126.0,SL,A+,10,Thursday,London,108.4,1.02,57.1,0.86,0.54,15.0,False,False,UP,2032.51,54.3,564.9,False,532.9,2,0,0.36,LOSS
2024-03-04 13:00:00+00:00,820,LONG,2084.1600000000003,2081.84,-92.8,SL,B,13,Monday,NY,144.2,0.85,53.1,0.05,0.32,15.0,False,False,UP,2060.05,81.2,849.8,False,1595.3,0,3,3.71,LOSS
2024-03-08 15:30:00+00:00,828,LONG,2180.84,2174.12,-127.68,SL,A+,15,Friday,NY,435.6,2.37,73.8,3.93,0.58,15.0,True,True,UP,2143.53,85.3,1164.3,False,3541.3,0,2,2.37,LOSS
2024-03-12 08:30:00+00:00,830,SHORT,2174.5499999999997,2177.17,-131.0,SL,A+,8,Tuesday,London,162.6,0.8,30.6,1.02,0.75,15.0,False,False,UP,2167.93,67.7,1030.2,True,3417.8,3,0,0.95,LOSS
2024-03-15 10:00:00+00:00,834,LONG,2169.26,2166.75,-133.03,SL,A+,10,Friday,London,159.7,0.77,70.9,0.96,0.19,15.0,False,False,UP,2166.08,59.8,859.0,False,1463.6,0,4,0.35,LOSS
2024-03-18 10:30:00+00:00,835,SHORT,2150.1299999999997,2152.83,-129.6,SL,A+,10,Monday,London,168.7,0.83,53.0,2.52,0.19,15.0,False,True,UP,2161.19,46.7,877.9,True,577.7,0,1,0.87,LOSS
2024-03-21 10:15:00+00:00,841,LONG,2210.03,2205.27,-128.52,SL,A+,10,Thursday,London,306.4,0.6,66.9,1.3,0.81,15.0,False,False,UP,2171.26,74.8,1182.0,False,470.6,1,0,2.56,LOSS
2024-04-01 10:30:00+00:00,848,LONG,2260.19,2255.6,-96.39,SL,B,10,Monday,London,294.6,0.75,58.2,0.03,0.51,15.0,False,False,UP,2209.95,80.1,1344.2,False,2015.4,1,0,3.55,LOSS
2024-04-02 13:45:00+00:00,850,LONG,2262.1600000000003,2257.38,-95.6,SL,B,13,Tuesday,NY,305.9,1.2,58.2,-0.37,0.61,15.0,False,False,UP,2231.88,69.6,1386.8,False,2671.0,1,0,1.85,LOSS
