open_time,trade_id,direction,entry_price,exit_price,pnl_usd,exit_reason,grade,hour,day_of_week,session,m15_atr,m15_atr_ratio,m15_rsi,m15_vol_z,m15_body_ratio,m15_spread,vol_spike,vol_abnormal,h4_trend,h4_ema20,h4_rsi,h4_atr,counter_trend,h4_trend_strength,h4_consec_bear,h4_consec_bull,price_extension,group
2023-10-02 15:30:00+00:00,679,SHORT,1835.54,1829.054502551043,162.14,TP,A+,15,Monday,NY,228.9,1.28,40.0,2.04,0.36,15.0,False,True,DOWN,1864.77,16.3,797.9,False,2390.9,6,0,3.58,WIN
2023-10-05 15:15:00+00:00,684,SHORT,1820.33,1815.4699999999998,174.96,TP,A+,15,Thursday,NY,157.7,1.26,39.3,3.24,0.6,15.0,False,True,DOWN,1829.86,27.1,779.7,False,2437.9,2,0,1.81,WIN
2023-10-11 09:00:00+00:00,688,LONG,1860.3799999999999,1865.389350461826,270.5,TP,A+,9,Wednesday,London,107.8,0.76,51.4,1.52,0.52,15.0,False,False,UP,1851.98,65.4,764.9,False,282.0,0,1,2.3,WIN
2023-10-13 10:00:00+00:00,691,LONG,1878.55,1883.433474371475,229.52,TP,A+,10,Friday,London,126.5,0.88,72.8,3.19,0.83,15.0,False,True,UP,1868.75,65.0,693.0,False,1037.9,0,3,2.17,WIN
2023-10-13 14:30:00+00:00,692,LONG,1894.85,1903.4117790083694,239.73,TP,A+,14,Friday,NY,211.9,1.53,84.1,1.4,0.74,15.0,False,False,UP,1872.94,80.4,930.4,False,1425.0,0,4,4.34,WIN
2023-10-26 09:30:00+00:00,699,LONG,1985.1,1990.2989729119035,187.16,TP,A+,9,Thursday,London,171.8,0.73,47.5,1.33,0.51,15.0,False,False,UP,1975.96,67.8,998.0,False,1896.6,0,6,1.62,WIN
2023-11-14 15:00:00+00:00,717,LONG,1945.92,1949.6200000000001,188.7,TP,A+,15,Tuesday,NY,119.3,1.09,49.6,3.02,0.39,15.0,False,True,DOWN,1948.93,51.6,819.6,True,1126.3,0,2,0.65,WIN
2023-12-01 10:30:00+00:00,735,LONG,2041.79,2048.5550858099014,284.13,TP,A+,10,Friday,London,145.6,0.91,55.5,1.7,0.5,15.0,False,False,UP,2035.11,68.2,770.8,False,1542.6,0,1,1.46,WIN
2023-12-14 09:45:00+00:00,742,LONG,2032.75,2040.3229714192626,174.18,TP,A+,9,Thursday,London,283.5,0.74,55.2,1.27,0.45,15.0,False,False,DOWN,2004.99,69.4,1140.0,True,712.1,0,4,2.78,WIN
2024-01-03 13:15:00+00:00,761,SHORT,2052.2999999999997,2044.250386508548,177.09,TP,B,13,Wednesday,NY,214.5,1.37,30.7,-0.34,0.37,15.0,False,False,UP,2063.03,34.6,930.4,True,379.1,2,0,2.37,WIN
2024-01-17 15:00:00+00:00,781,SHORT,2026.43,2019.9088237974602,182.59,TP,A+,15,Wednesday,NY,228.2,1.16,55.4,2.69,0.67,15.0,False,True,DOWN,2035.41,39.8,935.8,False,109.0,1,0,1.39,WIN
2024-01-31 13:00:00+00:00,792,LONG,2038.18,2044.6729296058693,240.24,TP,B,13,Wednesday,NY,134.7,1.18,56.6,0.05,0.6,15.0,False,False,UP,2032.17,63.6,787.6,False,599.7,0,3,1.24,WIN
2024-02-08 09:15:00+00:00,797,SHORT,2033.69,2030.5285558989951,186.53,TP,A+,9,Thursday,London,119.1,0.82,48.2,1.25,0.2,15.0,False,False,UP,2034.2,50.5,732.1,True,111.8,0,1,0.15,WIN
2024-02-15 15:30:00+00:00,804,LONG,2003.36,2007.8877357526073,172.05,TP,A+,15,Thursday,NY,186.6,1.65,79.7,4.01,0.55,15.0,False,True,DOWN,2003.15,46.3,710.0,True,1395.6,0,2,0.09,WIN
2024-02-20 10:45:00+00:00,809,LONG,2022.84,2025.6638581764814,163.78,TP,A+,10,Tuesday,London,122.4,1.11,67.3,1.75,0.77,15.0,False,False,DOWN,2013.58,67.6,602.8,True,78.1,0,2,1.74,WIN
2024-02-23 10:15:00+00:00,813,SHORT,2020.1200000000001,2016.7059867197368,170.7,TP,A+,10,Friday,London,145.7,1.04,35.4,1.63,0.29,15.0,False,False,UP,2023.15,42.6,599.6,True,333.7,2,0,1.06,WIN
2024-03-04 08:45:00+00:00,819,LONG,2083.5400000000004,2087.467849690929,223.89,TP,A+,8,Monday,London,130.2,0.61,61.0,0.64,0.83,15.0,False,False,UP,2056.73,79.1,821.8,False,1461.8,0,2,3.46,WIN
2024-03-05 10:00:00+00:00,821,LONG,2118.7000000000003,2124.4284090083247,206.22,TP,A+,10,Tuesday,London,210.7,0.86,61.0,2.29,0.95,15.0,False,True,UP,2082.85,84.9,952.4,False,2429.8,0,2,4.37,WIN
2024-03-07 13:45:00+00:00,826,LONG,2156.0800000000004,2162.2129808533,165.59,TP,B,13,Thursday,NY,221.2,0.9,53.4,-0.3,0.63,15.0,False,False,UP,2127.35,86.6,1062.4,False,3573.6,0,3,3.03,WIN
